curriculum_rank,episode_id,stage,stage_position,cluster,difficulty,difficulty_z,coreset_rank,is_cluster_medoid,duration,path_length,net_displacement,tortuosity,log_tortuosity,mean_speed,max_speed,rms_acceleration,rms_jerk,normalized_jerk,log_normalized_jerk,reversal_rate,workspace_span,source,task_name,embodiment,arm_used,missing_frame_ratio
21,yam__pack_items__2026-07-06-18-30-23-922000,1,21,0,0.10661764705882353,-1.0176071828729771,227,False,1021.0,4.365681958547062,0.09685553270523119,45.07416186366471,3.8302523126940633,0.12840241054550183,0.556765099704811,0.9656105259913136,40.735735589178844,367280.56603020546,12.813884042773209,0.0814070351758794,0.7346556270376745,yam,yam_pack_items,yam_bimanual,right,0.0
22,yam__pack_items__2026-07-06-18-29-27-437000,1,22,0,0.11397058823529412,-1.0075369102251603,234,False,1050.0,4.049491994513026,0.06952919620355225,58.241605190685895,4.081624085431652,0.1158100665732991,0.504150890483041,0.8839722700704854,36.73787908706474,388415.32797511556,12.869833053586534,0.04558969276511397,0.6209238249482358,yam,yam_pack_items,yam_bimanual,right,0.0
23,yam__pack_items__2026-07-06-21-04-18-018000,1,23,0,0.11764705882352941,-1.00078490453634,250,False,820.0,4.194416381615358,0.06498483767692706,64.54453887332846,4.18272989435656,0.1536416257001963,0.8860230500239114,1.475731452844223,68.58521219603193,333304.2418599467,12.716813991324717,0.04197530864197531,0.6441330623598919,yam,yam_pack_items,yam_bimanual,right,0.0
24,yam__fold_clothes__2026-07-08-22-25-25-667000,1,24,0,0.1213235294117647,-0.9931428843818633,235,False,1035.0,5.192302932326079,0.07451053125484193,69.68549069348727,4.25824032826968,0.15064708701139495,0.6367843935133192,1.067817434457528,39.7816426914852,314159.10349273396,12.65765801867867,0.019455252918287938,0.7574638302806261,yam,yam_fold_tshirt,yam_bimanual,left,0.0
25,yam__fold_clothes__2026-07-09-22-18-13-776000,1,25,0,0.125,-0.9885956572540369,216,False,839.0,4.152491228556196,0.04789407640536078,86.70156186770954,4.47393970842947,0.14865720388626,0.6472101608312362,1.1159714337849191,40.236059566145855,211568.49431711048,12.262308801829922,0.021660649819494584,0.6575209311284798,yam,yam_fold_tshirt,yam_bimanual,left,0.0
26,yam__fold_clothes__2026-07-08-22-23-09-074000,1,26,0,0.12867647058823528,-0.9827872907602035,247,False,1043.0,4.532718932075777,0.07158347087115502,63.32074816872651,4.163882256779529,0.13050054506936015,0.6550734419499923,1.0774214774758273,40.67915933563726,376596.99995838193,12.83893358440612,0.029644268774703556,0.7742658493371565,yam,yam_fold_tshirt,yam_bimanual,left,0.0
27,yam__fold_clothes__2026-07-09-22-11-29-382000,1,27,0,0.1323529411764706,-0.9689767117650396,195,False,1084.0,4.7951375922066655,0.06769079555431456,70.8388423114201,4.274425309045337,0.13282929618301012,0.7233646573231316,1.1116457732453784,40.09590031664849,393931.9306742137,12.883935947074665,0.02509293680297398,0.6159000164397974,yam,yam_fold_tshirt,yam_bimanual,left,0.0
28,yam__fold_clothes__2026-07-09-22-26-03-154000,1,28,0,0.13602941176470587,-0.9582884628351227,1,True,750.0,3.7914888500944626,0.0360503481828825,105.17204524240199,4.6650608466847325,0.15186203671940438,0.8104691234412674,1.204183868535772,43.93818607130787,180709.93752521538,12.104654003388355,0.014864864864864866,0.6345706850848102,yam,yam_fold_tshirt,yam_bimanual,left,0.0
29,yam__fold_clothes__2026-07-09-22-26-59-131000,1,29,0,0.13970588235294118,-0.9373633576724619,225,False,829.0,3.9604961859904426,0.03973495668036821,99.67284519394478,4.611876102922113,0.14349623862284214,0.6934922879083725,1.1431939165331604,38.98449011387332,207326.5136906671,12.24205501364319,0.023370233702337023,0.6385705716254392,yam,yam_fold_tshirt,yam_bimanual,left,0.0
30,yam__fold_clothes__2026-07-09-22-24-12-475000,1,30,0,0.14338235294117646,-0.9340618082712926,248,False,934.0,4.302394042562269,0.04734933035060863,90.86493960324755,4.520319450620304,0.13834064445537841,0.8414321895973941,1.1310820370735548,38.86656686476259,272172.51343799796,12.514195058947005,0.019672131147540985,0.659855095220299,yam,yam_fold_tshirt,yam_bimanual,left,0.0
