scope,n_clips_in_scope,target,sort_key,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,103,tortuosity only,6.0,6.0,1.0,1.0,0.10294117647058826,0.10294117647058826,0.05808823529411765,0.0,0.4,0.2,0.2,0.2,0.5259564109143591,0.9044303929988131,0.4,0.6,6.0,2.0,0.6,1.5551632945341163,1.0
garments,131,103,random order,6.0,6.0,-0.028571428571428574,0.6,0.16911764705882354,0.29044117647058826,0.13823529411764707,1.0,0.8,0.4,0.8,0.8,0.8267380044036028,1.0,0.2,0.2,1.0,1.0,0.2,1.5551632945341163,1.0
garments,131,17,composite difficulty,5.0,5.0,0.9999999999999999,1.0,0.5955882352941176,0.5955882352941176,0.18474264705882354,1.0,0.25,0.25,0.0,0.25,0.7476476150269984,0.906981954664931,0.4,0.4,5.0,2.0,0.0,1.777865758139836,1.0
garments,131,17,duration only,5.0,5.0,0.8999999999999998,0.75,0.5955882352941176,0.5955882352941176,0.1939338235294118,1.0,0.25,0.25,0.0,0.25,0.7755068431557028,0.906981954664931,0.4,0.4,4.0,2.0,0.0,1.777865758139836,1.0
garments,131,17,path_length only,5.0,5.0,0.6,0.5,0.5955882352941176,0.5955882352941176,0.2178308823529412,1.0,0.25,0.25,0.0,0.25,0.771760383162188,0.906981954664931,0.4,0.4,3.0,2.0,0.0,1.777865758139836,1.0
garments,131,17,tortuosity only,5.0,5.0,0.09999999999999999,0.5,0.7389705882352942,0.7389705882352942,0.22334558823529413,1.0,0.25,0.25,0.0,0.25,0.7859521993933736,0.9941461318259748,0.4,0.4,2.0,2.0,0.0,1.777865758139836,1.0
garments,131,17,random order,5.0,5.0,-0.3,0.5,0.7022058823529411,0.7022058823529411,0.36580882352941174,1.0,0.5,0.5,0.0,0.5,0.8785871200930199,1.0,0.2,0.2,1.0,1.0,0.0,1.777865758139836,1.0
garments,131,92,composite difficulty,7.0,7.0,1.0,1.0,0.0625,0.0625,0.04779411764705882,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.48206306007116556,0.9044303929988131,0.4,0.6,7.0,2.0,0.6666666666666666,1.4686176465173777,1.0
garments,131,92,duration only,7.0,7.0,0.7857142857142859,0.8333333333333334,0.22426470588235292,0.22426470588235292,0.10171568627450982,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.536680291765867,0.9172026522369672,0.4,0.6,7.0,2.0,0.3333333333333333,1.4686176465173777,1.0
garments,131,92,path_length only,7.0,7.0,0.21428571428571433,0.5,0.22426470588235292,0.26838235294117646,0.16237745098039214,2.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5963301901606347,1.0,0.4,0.4,6.0,2.0,0.16666666666666666,1.4686176465173777,1.0
garments,131,92,tortuosity only,7.0,7.0,1.0,1.0,0.0625,0.0625,0.04779411764705882,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.48206306007116556,0.9044303929988131,0.4,0.6,7.0,2.0,0.6666666666666666,1.4686176465173777,1.0
garments,131,92,random order,7.0,7.0,0.7142857142857144,0.5,0.1139705882352941,0.1139705882352941,0.07781862745098038,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5321669886547672,1.0,0.4,0.6,5.0,2.0,0.5,1.4686176465173777,1.0
garments,131,108,composite difficulty,6.0,6.0,1.0,1.0,0.11397058823529413,0.11397058823529413,0.04338235294117647,0.0,0.4,0.2,0.2,0.2,0.5745999471783443,0.9577147862146868,0.4,0.6,6.0,2.0,0.4,1.5853258973301856,1.0
garments,131,108,duration only,6.0,6.0,0.8857142857142858,0.6,0.16176470588235295,0.16176470588235295,0.05441176470588236,1.0,0.4,0.2,0.2,0.2,0.5399427166755029,0.9044303929988131,0.4,0.6,5.0,2.0,0.6,1.5853258973301856,1.0
garments,131,108,path_length only,6.0,6.0,0.4285714285714286,0.8,0.11397058823529413,0.1985294117647059,0.08308823529411766,0.0,0.4,0.2,0.4,0.4,0.6179092185674336,1.0,0.4,0.4,5.0,2.0,0.4,1.5853258973301856,1.0
garments,131,108,tortuosity only,6.0,6.0,1.0,1.0,0.11397058823529413,0.11397058823529413,0.04338235294117647,0.0,0.4,0.2,0.2,0.2,0.5745999471783443,0.9577147862146868,0.4,0.6,6.0,2.0,0.4,1.5853258973301856,1.0
garments,131,108,random order,6.0,6.0,-0.2571428571428572,0.4,0.21691176470588236,0.21691176470588236,0.12132352941176469,1.0,0.6,0.4,0.6,0.6,0.716634071329668,1.0,0.4,0.4,3.0,2.0,0.4,1.5853258973301856,1.0
garments,131,0,composite difficulty,6.0,6.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.18823529411764706,1.0,0.2,0.2,0.0,0.2,0.6979871032856277,0.906981954664931,0.4,0.4,6.0,2.0,0.0,1.7210046172151001,1.0
garments,131,0,duration only,6.0,6.0,0.942857142857143,0.8,0.5955882352941176,0.5955882352941176,0.22647058823529412,3.0,0.2,0.2,0.0,0.2,0.6915665633983817,0.906981954664931,0.4,0.4,6.0,2.0,0.0,1.7210046172151001,1.0
