scope,n_clips_in_scope,target,ordering,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,spearman_with_reviews,frac_nondecreasing_with_reviews,task_switch_rate_with_reviews,cluster_switch_rate_with_reviews,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,48,Random order (same clips),7.0,7.0,0.039285714285714285,0.4499999999999999,0.75625,0.8647058823529411,0.35765931372549026,2.1,0.25,0.25,0.0,0.25,0.8114474575895387,0.9870831332076824,,,,,0.28,0.28,3.5,1.4,0.0,1.7643786245981599,1.0
garments,131,48,Random subset (same size),7.0,7.0,0.17857142857142858,0.4666666666666666,0.5360294117647059,0.6290441176470588,0.3208333333333333,2.3,0.38333333333333336,0.36666666666666664,0.21666666666666665,0.38333333333333336,0.8691174819713314,0.9662067215384706,,,,,0.36,0.42000000000000004,4.8,1.8,0.0,1.8559234005324359,1.0
garments,131,48,Difficulty-sorted (same clips),7.0,7.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.1636029411764706,1.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.7280193875096028,0.906981954664931,,,,,0.4,0.4,7.0,2.0,0.0,1.7643786245981599,1.0
garments,131,48,Coreset prefix (same size),7.0,7.0,0.14285714285714288,0.5,0.9632352941176471,0.9632352941176471,0.7604166666666666,3.0,1.0,1.0,0.16666666666666666,1.0,0.9765302249422515,1.0,,,,,1.0,0.8,7.0,5.0,0.0,2.08644478217572,1.0
garments,131,102,Curriculum path,6.0,5.0,0.9999999999999999,1.0,0.08088235294117646,0.08088235294117646,0.04136029411764706,0.0,0.5,0.25,0.25,0.25,0.5830361441357936,0.9044303929988131,0.550782483869826,0.8,0.8,0.6,0.4,0.6,6.0,2.0,0.2,1.669986519482197,0.8333333333333334
garments,131,102,Random order (same clips),5.0,5.0,0.1,0.525,0.12352941176470589,0.14669117647058824,0.08704044117647058,0.1,0.625,0.425,0.45,0.45,0.708721400984543,0.9895015868429734,,,,,0.32,0.42000000000000004,3.0,1.6,0.175,1.669986519482197,1.0
garments,131,102,Random subset (same size),5.0,5.0,-0.17999999999999997,0.4,0.6599264705882353,0.6977941176470589,0.39329044117647055,1.1,0.65,0.575,0.5,0.625,0.8613570946278776,0.9727710334268845,,,,,0.36,0.4,3.1,1.8,0.05,1.8600970813105295,1.0
garments,131,102,Difficulty-sorted (same clips),5.0,5.0,0.9999999999999999,1.0,0.08088235294117646,0.08088235294117646,0.04136029411764706,0.0,0.5,0.25,0.25,0.25,0.5830361441357936,0.9044303929988131,,,,,0.4,0.6,5.0,2.0,0.5,1.669986519482197,1.0
garments,131,102,Coreset prefix (same size),5.0,5.0,0.09999999999999999,0.5,0.8676470588235294,0.8860294117647058,0.6755514705882353,2.0,1.0,1.0,0.25,1.0,0.9684036469613908,1.0,,,,,0.8,0.8,5.0,4.0,0.0,2.091316744144682,1.0
garments,131,7,Curriculum path,3.0,3.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.30330882352941174,1.0,0.5,0.5,0.0,0.5,0.8111116336811144,0.906981954664931,,,,,0.4,0.4,3.0,2.0,0.0,1.865527862623142,1.0
garments,131,7,Random order (same clips),3.0,3.0,-0.1,0.4,0.42132352941176465,0.6044117647058822,0.42463235294117646,0.7,0.7,0.7,0.0,0.7,0.8816328931833587,0.971328216882366,,,,,0.3,0.3,1.8,1.5,0.0,1.8655278626231422,1.0
